,date,title
0,2021-03-21,Весенняя серия. Игра первая. Овдеенко.
1,2021-03-28,Весенняя серия. Игра вторая. Белозёров.
2,2021-04-04,Весенняя серия. Игра третья. Козлов.
3,2021-04-11,Весенняя серия. Игра четвёртая. Касумов.
4,2021-04-18,Весенняя серия игр. Финал. Касумов
5,2021-05-23,Летняя серия. Игра первая. Локитиков.
6,2021-05-30,Летняя серия. Игра вторая. Повышева.
7,2021-06-06,Летняя серия. Игра третья. Сиднев.
8,2021-06-13,Летняя серия. Игра четвёртая. Мухин.
9,2021-06-20,Летняя серия. Финал. Мухин
10,2021-10-03,Осенняя серия. Игра первая. Потанина (специгра с людьми разных профессий)
11,2021-10-10,Осенняя серия. Игра вторая. Овдеенко (сборная команд Овдеенко и Белозёрова)
12,2021-10-17,Осенняя серия. Игра третья. Сиднев (сборная команд Сиднева и Повышевой)
13,2021-10-24,Осенняя серия. Игра четвёртая. Мухин.
14,2021-10-31,Осенняя серия. Финал. Козлов.
15,2021-11-28,Зимняя серия. Игра первая. Друзь (Хрустальные атомы).
16,2021-12-05,Зимняя серия. Игра вторая. Мухин.
17,2021-12-12,Зимняя серия. Игра третья. Касумов.
18,2021-12-19,Зимняя серия. Игра четвёртая. Козлов.
19,2021-12-26,Финал года. Козлов.
20,2020-03-22,Весенняя серия. Игра первая. Емелин («Дети XXI века»)
21,2020-03-29,Весенняя серия. Игра вторая. Козлов.
22,2020-04-05,Весенняя серия. Игра третья. Белозёров.
23,2020-04-12,Весенняя серия. Игра четвёртая. Сиднев.
24,2020-04-19,Весенняя серия. Финал. Галиакберов (команда Жаркевича)
25,2020-05-17,Летняя серия. Игра первая. Сиднев.
26,2020-05-24,Летняя серия. Игра вторая. Козлов.
27,2020-05-31,Летняя серия. Игра третья. Повышева (сборная команд Повышевой и Мухина).
28,2020-06-07,Летняя серия. Игра четвёртая. Скипский (команда Касумова).
29,2020-06-14,Летняя серия. Финал. Белозёров.
30,2020-09-27,Осенняя серия. Игра первая. Емелин.
31,2020-10-04,Осенняя серия. Игра вторая. Потанина (сборная команд Потаниной и Жаркевича).
32,2020-10-18,Осенняя серия. Игра третья. Повышева.
33,2020-10-25,Осенняя серия. Игра четвёртая. Мухин.
34,2020-11-01,Осенняя серия. Финал. Касумов.
35,2020-11-22,Зимняя серия. Игра первая. Сиднев и Белозёров (специгра «вприсядку» со знатоками 45+ и 15-).
36,2020-11-29,Зимняя серия. Игра вторая. Козлов.
37,2019-02-04,Зимняя серия. Игра третья. Повышева.
38,2019-02-11,Зимняя серия. Игра четвёртая. Крапиль (команда Мухина).
39,2019-02-18,Зимняя серия. Игра пятая. Касумов.
40,2019-03-10,Финал года. Мухин.
41,2019-02-04,"Серия ""Дети XXI века"". Игра первая. Савочкин."
42,2019-02-11,"Серия ""Дети XXI века"". Игра вторая. Боброва."
43,2019-02-18,"Серия ""Дети XXI века"". Игра третья. Емелин."
44,2019-03-10,Весенняя серия. Игра первая. Семёнова (супружеские пары)
45,2019-03-24,Весенняя серия. Игра вторая. Жаркевич.
